Date,Plant,Type,BeakerShape,AirTemp,WaterTemp,RawPh,SettledPh,RawTurb,SettleTurb,RawFlowMGD,BasinSizeMG,MixerSpeed,MixTime,SettleTime,SolidsRemoved,Dosage
8/8/2018,1,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,30,15,20,0.968,8
8/8/2018,1,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,30,15,20,0.968,10
8/8/2018,1,1,1,73,65,7.72,7.39,0.4,0.08,6.371,1,30,15,20,0.968,12
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.12,3.488,0.75,30,15,20,0.964,6
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.11,3.488,0.75,30,15,20,0.967,8
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.13,3.488,0.75,30,15,20,0.961,10
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.12,3.488,0.75,30,15,20,0.964,10
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.07,3.488,0.75,30,15,20,0.979,12
8/13/2018,2,1,1,70,64,7.69,7.39,0.3,0.11,3.488,0.75,30,15,20,0.967,14
9/26/2018,2,1,1,57,64,7.38,7.28,0.35,0.1,3.472,0.75,30,15,20,0.965,8
9/26/2018,2,1,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,30,15,20,0.9685,10
9/26/2018,2,1,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,30,15,20,0.9685,12
9/26/2018,2,1,1,57,64,7.38,7.28,0.35,0.11,3.472,0.75,30,15,20,0.9615,14
9/26/2018,2,1,1,57,64,7.38,7.28,0.35,0.09,3.472,0.75,30,15,20,0.9685,16
10/15/2018,1,1,1,37,63,7.71,7.72,0.47,0.16,4.838,1,30,15,20,0.9248,8
10/15/2018,1,1,1,37,63,7.71,7.72,0.47,0.06,4.838,1,30,15,20,0.9718,10
10/15/2018,1,1,1,37,63,7.71,7.72,0.47,0.05,4.838,1,30,15,20,0.9765,12
10/15/2018,1,1,1,37,63,7.71,7.72,0.47,0.07,4.838,1,30,15,20,0.9671,14
10/15/2018,1,1,1,37,63,7.71,7.72,0.47,0.04,4.838,1,30,15,20,0.9812,16
11/19/2018,1,1,1,33,54,7.89,7.89,0.47,0.11,5.56,1,30,15,20,0.9483,8
11/19/2018,1,1,1,33,54,7.89,7.89,0.47,0.1,5.56,1,30,15,20,0.953,10
11/19/2018,1,1,1,33,54,7.89,7.89,0.47,0.09,5.56,1,30,15,20,0.9577,12
11/19/2018,1,1,1,33,54,7.89,7.89,0.47,0.09,5.56,1,30,15,20,0.9577,14
11/19/2018,1,1,1,33,54,7.89,7.89,0.47,0.07,5.56,1,30,15,20,0.9671,16
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.12,1.872,0.75,30,15,20,0.9436,8
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.13,1.872,0.75,30,15,20,0.9389,10
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.14,1.872,0.75,30,15,20,0.9342,12
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.1,1.872,0.75,30,15,20,0.953,14
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.1,1.872,0.75,30,15,20,0.953,16
11/21/2018,2,1,1,42,54,7.8,7.81,0.47,0.09,1.872,0.75,30,15,20,0.9577,18
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.14,6.413,1,30,15,20,0.9258,8
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.14,6.413,1,30,15,20,0.9258,10
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.09,6.413,1,30,15,20,0.9523,12
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.11,6.413,1,30,15,20,0.9417,14
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.15,6.413,1,30,15,20,0.9205,16
1/8/2019,1,1,1,47,53,7.53,7.51,0.53,0.16,6.413,1,30,15,20,0.9152,18
3/29/2019,1,1,1,60,56,7.89,7.89,0.33,0.15,6.83,1,30,15,20,0.9505,6
3/29/2019,1,1,1,60,56,7.89,7.89,0.33,0.11,6.83,1,30,15,20,0.9637,8
3/29/2019,1,1,1,60,56,7.89,7.89,0.33,0.1,6.83,1,30,15,20,0.967,10
3/29/2019,1,1,1,60,56,7.89,7.89,0.33,0.11,6.83,1,30,15,20,0.9637,12
3/29/2019,1,1,1,60,56,7.89,7.89,0.33,0.09,6.83,1,30,15,20,0.9703,14
6/3/2019,1,1,1,66,62,8,7.5,0.49,0.11,8.855,1,30,15,20,0.9461,6
6/3/2019,1,1,1,66,62,8,7.5,0.49,0.12,8.855,1,30,15,20,0.9412,8
6/3/2019,1,1,1,66,62,8,7.5,0.49,0.1,8.855,1,30,15,20,0.951,10
6/3/2019,1,1,1,66,62,8,7.5,0.49,0.09,8.855,1,30,15,20,0.9559,12
6/3/2019,1,1,1,66,62,8,7.5,0.49,0.09,8.855,1,30,15,20,0.9559,14
7/12/2019,2,1,1,73,69,7.66,7.4,0.76,0.25,9.133,0.75,30,15,20,0.81,8
7/12/2019,2,1,1,73,69,7.66,7.4,0.76,0.26,9.133,0.75,30,15,20,0.8024,10
7/12/2019,2,1,1,73,69,7.66,7.4,0.76,0.23,9.133,0.75,30,15,20,0.8252,12
7/12/2019,2,1,1,73,69,7.66,7.4,0.76,0.2,9.133,0.75,30,15,20,0.848,14
7/12/2019,2,1,1,73,69,7.66,7.4,0.76,0.16,9.133,0.75,30,15,20,0.8784,16
8/4/2021,1,1,1,69,71,7.59,7.22,0.63,0.18,3.774,1,30,15,20,0.8866,8
8/4/2021,1,1,1,69,71,7.59,7.22,0.63,0.12,3.774,1,30,15,20,0.9244,10
8/4/2021,1,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,30,15,20,0.9433,12
8/4/2021,1,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,30,15,20,0.9433,14
8/4/2021,1,1,1,69,71,7.59,7.22,0.63,0.09,3.774,1,30,15,20,0.9433,16
9/17/2019,1,1,1,76,73,7.43,7.2,0.71,0.22,5.644,1,30,15,20,0.8438,8
9/17/2019,1,1,1,76,73,7.43,7.2,0.71,0.21,5.644,1,30,15,20,0.8509,10
9/17/2019,1,1,1,76,73,7.43,7.2,0.71,0.21,5.644,1,30,15,20,0.8509,14
9/17/2019,1,1,1,76,73,7.43,7.2,0.71,0.2,5.644,1,30,15,20,0.858,16
8/14/2019,1,1,1,74,73,7.63,7.26,0.67,0.14,6.84,1,30,15,20,0.9062,10
8/14/2019,1,1,1,74,73,7.63,7.26,0.67,0.14,6.84,1,30,15,20,0.9062,12
8/14/2019,1,1,1,74,73,7.63,7.26,0.67,0.13,6.84,1,30,15,20,0.9129,14
8/14/2019,1,1,1,74,73,7.63,7.26,0.67,0.13,6.84,1,30,15,20,0.9129,16
8/14/2019,1,1,1,74,73,7.63,7.26,0.67,0.12,6.84,1,30,15,20,0.9196,18
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.15,7.245,1,30,15,20,0.820895522,10
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.17,7.245,1,30,15,20,0.939516129,15
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.15,7.245,1,30,15,20,0.931451613,20
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.15,7.245,1,30,15,20,0.939516129,25
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.15,7.245,1,30,15,20,0.939516129,30
11/4/2021,1,1,1,40,62,7.84,7.45,2.48,0.14,7.245,1,30,15,20,0.939516129,35
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.2,7.245,1,30,15,20,0.943548387,5
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.15,7.245,1,30,15,20,0.722222222,10
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.13,7.245,1,30,15,20,0.791666667,15
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.13,7.245,1,30,15,20,0.819444444,20
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.14,7.245,1,30,15,20,0.819444444,25
11/4/2021,1,1,1,46,65,7.84,7.47,0.72,0.12,7.245,1,30,15,20,0.805555556,30
